Model_name,input_size,exec_time,flops
MobileNet0.25-v1,224x224x3,0.975275532110092,83021333
MobileNet0.5-v1,224x224x3,1.73067421100917,301694565
MobileNet0.75-v1,224x224x3,2.80571425688073,656025781
MobileNet1.0-v1,224x224x3,3.72348865137615,1146014981
MobileNet0.35-v2,224x224x3,1.91306507,122082109
MobileNet0.5-v2,224x224x3,2.23229884,198397925
MobileNet0.75-v2,224x224x3,3.26630256,423673733
MobileNet1.3-v2,224x224x3,5.41883137,1029911197
MobileNet1.4-v2,224x224x3,5.86140097,1177027757
MobileNet-small0.75-v3,224x224x3,2.86229497,115171886
MobileNet-small1.0-v3,224x224x3,2.95597322,136238228
MobileNet-small1.5-v3,224x224x3,3.06922698,178210976
MobileNet-large1.0-v3,224x224x3,5.32235729,479452694
ResNet-20,224x224x3,5.74635517,4015089319
ResNet-32,224x224x3,8.95332488,6798827403
ResNet-44,224x224x3,12.24111238,9582565487
ResNet-56,224x224x3,15.64672658,12366303571
ResNet-110,224x224x3,30.3929079,24893124949
ResNet-164,224x224x3,45.28772654,37419946327
ResNet-200,224x224x3,55.23591411,45771160579
ResNet-20V2,224x224x3,9.64457412,6532062536
ResNet-38V2,224x224x3,18.23686655,12781750078
ResNet-56V2,224x224x3,27.01130359,19031437620
ResNet-110V2,224x224x3,52.58773269,37780500246
ResNet-164V2,224x224x3,79.62243326,56529562872
ResNet-18,224x224x3,10.35592949,3679812795
ResNet-34,224x224x3,18.69783514,7400036203
ResNet-50,224x224x3,19.60136469,7785104411
ResNet-101,224x224x3,34.92869465,15256087273
ResNet-152,224x224x3,48.83860738,22722377090
ResNet-50V2,224x224x3,18.82675102,7029133640
ResNet-152V2,224x224x3,48.43537042,21962592890
SEResNet-18,224x224x3,10.71761839,3681668291
SEResNet-34,224x224x3,19.61779224,7403428663
SEResNet-50,224x224x3,22.41714885,7795631904
SEResNet-101,224x224x3,40.61895824,15277252123
SEResNet-152,224x224x3,56.41275779,22753005718
ResNext-50,224x224x3,29.40901868,8518482385
ResNext-101,224x224x3,52.86574855,16039261305
SEResNext-50,224x224x3,32.94879523,8539596944
ShuffleNet0.5-v1,224x224x3,2.07034173,285571910
ShuffleNet1.0-v1,224x224x3,4.45713126,1103202698
ShuffleNet1.5-v1,224x224x3,7.73457733,2452898510
ShuffleNet2.0-v1,224x224x3,12.95844218,4334659346
ShuffleNet0.5-v2,224x224x3,2.42271847,282600427
ShuffleNet1.0-v2,224x224x3,4.7070051,986344881
ShuffleNet2.0-v2,224x224x3,12.6190496,3669722893
EfficientNet-B0,224x224x3,7.0634508,793671844
EfficientNet-B1,224x224x3,10.18424196,1172128942
EfficientNet-B2,224x224x3,11.11783013,1354254546
EfficientNet-B4,224x224x3,20.63664259,3078325266
MNASNet0.35,224x224x3,1.72457877,108088285
MNASNet0.5,224x224x3,2.37795347,199475709
MNASNet0.75,224x224x3,3.52479136,425984525
Inception-v1,224x224x3,7.26850826,3022626453
Xception,224x224x3,18.35683534,9160551003
InceptionResNetV2,224x224x3,41.06536597,13071050429
DenseNet-121,224x224x3,13.25326951,5686886203
DenseNet-201,224x224x3,26.64805016,8625556907
DenseNet-161,224x224x3,34.45741527,15768832980
DenseNet-169,224x224x3,19.98029416,6750684747
DenseNet-264,224x224x3,41.84463577,11881973992
Inception-v3,224x224x3,18.21672152,5735759851
DPN-92,224x224x3,47.77461831,13158705510
DPN-98,224x224x3,84.33618275,23595005382
MNASNet1.0,224x224x3,4.32355746,633342109
MNASNet1.4,224x224x3,6.43177811,1208710813
DPN-107,224x224x3,121.52554747,36953861916
DPN-137,224x224x3,103.11886012,32354584070
