Model_name,input_size,exec_time,flops
MobileNet0.25-v1,"(32, 32, 3)",0.465389541284404,3124757
MobileNet0.25-v1,"(56, 56, 3)",0.489202853211009,5510613
MobileNet0.25-v1,"(64, 64, 3)",0.540377211009174,8118293
MobileNet0.25-v1,"(75, 75, 3)",0.554904743119266,8911253
MobileNet0.25-v1,"(112, 112, 3)",0.61194147706422,21188245
MobileNet0.25-v1,"(128, 128, 3)",0.633462073394496,28092437
MobileNet0.25-v1,"(150, 150, 3)",0.692542458715596,34954805
MobileNet0.25-v1,"(224, 224, 3)",0.975275532110092,83021333
MobileNet0.25-v1,"(240, 240, 3)",1.06315442201835,93611669
MobileNet0.25-v1,"(256, 256, 3)",1.13210411009174,107989013
MobileNet0.25-v1,"(299, 299, 3)",1.36309394495413,139677077
MobileNet0.25-v1,"(320, 320, 3)",1.46545226605505,167911445
MobileNet0.25-v1,"(331, 331, 3)",1.5592859266055,171674005
MobileNet0.25-v1,"(448, 448, 3)",2.39182679816514,327704597
MobileNet0.25-v1,"(480, 480, 3)",2.58416390825688,375975445
MobileNet0.25-v1,"(568, 568, 3)",3.49383278899083,513775061
MobileNet0.25-v1,"(600, 600, 3)",3.62234239449541,573838293
MobileNet0.25-v1,"(800, 800, 3)",5.97976297247706,1041780245
MobileNet0.25-v1,"(896, 896, 3)",7.43544479816514,1306437653
MobileNet0.25-v1,"(1024, 1024, 3)",9.40981866055046,1705920533
MobileNet0.25-v1,"(1200, 1200, 3)",12.8401821376147,2334589589
MobileNet0.25-v1,"(1600, 1600, 3)",22.9225971926606,4162740245
MobileNet0.25-v1,"(1792, 1792, 3)",28.9027763577982,5221369877
MobileNet0.25-v1,"(2400, 2400, 3)",47.5416083577982,9364340245
MobileNet0.5-v1,"(32, 32, 3)",0.795777467889908,9780837
MobileNet0.5-v1,"(56, 56, 3)",0.860612513761468,18247141
MobileNet0.5-v1,"(64, 64, 3)",0.861867183486238,28025445
MobileNet0.5-v1,"(75, 75, 3)",0.940973825688073,30623589
MobileNet0.5-v1,"(112, 112, 3)",1.02622749541284,75595621
MobileNet0.5-v1,"(128, 128, 3)",1.08635122018349,101003877
MobileNet0.5-v1,"(150, 150, 3)",1.27280089908257,125429925
MobileNet0.5-v1,"(224, 224, 3)",1.73067421100917,301694565
MobileNet0.5-v1,"(240, 240, 3)",1.83656900917431,339980133
MobileNet0.5-v1,"(256, 256, 3)",1.94740714678899,392917605
MobileNet0.5-v1,"(299, 299, 3)",2.38444669724771,507424613
MobileNet0.5-v1,"(320, 320, 3)",2.65607543119266,611852901
MobileNet0.5-v1,"(331, 331, 3)",2.75682796330275,624191333
MobileNet0.5-v1,"(448, 448, 3)",4.32031172477064,1195680357
MobileNet0.5-v1,"(480, 480, 3)",4.7168711559633,1372044901
MobileNet0.5-v1,"(568, 568, 3)",6.22810988990826,1872588261
MobileNet0.5-v1,"(600, 600, 3)",6.80722549541285,2091870693
MobileNet0.5-v1,"(800, 800, 3)",11.5810904770642,3804659301
MobileNet0.5-v1,"(896, 896, 3)",14.6242921559633,4771623525
MobileNet0.5-v1,"(1024, 1024, 3)",18.3924478715596,6231192165
MobileNet0.5-v1,"(1200, 1200, 3)",25.4050969816514,8526030693
MobileNet0.5-v1,"(1600, 1600, 3)",44.9980857889908,15207539301
MobileNet0.5-v1,"(1792, 1792, 3)",57.3026955229358,19075396197
MobileNet0.5-v1,"(2400, 2400, 3)",98.5470579724771,34212339301
MobileNet0.75-v1,"(32, 32, 3)",1.29812880733945,19974325
MobileNet0.75-v1,"(56, 56, 3)",1.37052731192661,38215669
MobileNet0.75-v1,"(64, 64, 3)",1.37745658715596,59727541
MobileNet0.75-v1,"(75, 75, 3)",1.52877171559633,65143093
MobileNet0.75-v1,"(112, 112, 3)",1.62357250458716,163228213
MobileNet0.75-v1,"(128, 128, 3)",1.71474267889908,218740405
MobileNet0.75-v1,"(150, 150, 3)",1.94834423853211,271431445
MobileNet0.75-v1,"(224, 224, 3)",2.80571425688073,656025781
MobileNet0.75-v1,"(240, 240, 3)",2.97862310091743,739111477
