#CNN,Input_shape,Power,Memory,Latency,Input_width,Input_size,nb_conv_params,nb_bn_params,nb_fc_params,FLOPs,nb_layers,nb_conv_layers,nb_bn_layers,nb_fc_layers,sum_activations,weighted_sum_neurons
DenseNet-121,"(32, 32, 3)",1832,2267,8.4186084,32,3072,6870208,167296,1025000,133742395,429,120,121,1,1025748,58843136
DenseNet-121,"(56, 56, 3)",1832,2272,8.60455278,56,9408,6870208,167296,1025000,341939771,429,120,121,1,2844916,162892800
DenseNet-121,"(64, 64, 3)",1832,2273,8.69641754,64,12288,6870208,167296,1025000,480813883,429,120,121,1,4085332,232300544
DenseNet-121,"(75, 75, 3)",1984.5,2268,8.82173876,75,16875,6870208,167296,1025000,600713083,429,120,121,1,5133654,292215552
DenseNet-121,"(112, 112, 3)",2060.5,2276,9.22789474,112,37632,6870208,167296,1025000,1421406011,429,120,121,1,12343700,702386176
DenseNet-121,"(128, 128, 3)",2212.5,2275.5,9.63627171,128,49152,6870208,167296,1025000,1869099835,429,120,121,1,16313172,926130176
DenseNet-121,"(150, 150, 3)",2442,2366,10.42374374,150,67500,6870208,167296,1025000,2535962555,429,120,121,1,22114052,1259404992
DenseNet-121,"(224, 224, 3)",2900,2369,13.25326951,224,150528,6870208,167296,1025000,5686886203,429,120,121,1,49926612,2834161664
DenseNet-121,"(240, 240, 3)",3127.5,2374,13.82985872,240,172800,6870208,167296,1025000,6494736187,429,120,121,1,56978324,3237908480
DenseNet-121,"(256, 256, 3)",3280.5,2374.5,14.2067143,256,196608,6870208,167296,1025000,7422243643,429,120,121,1,65203540,3701448704
DenseNet-121,"(299, 299, 3)",3814,2390,17.68379869,299,268203,6870208,167296,1025000,9895888763,429,120,121,1,86942038,4937681664
DenseNet-121,"(320, 320, 3)",4119,2393,19.2335179,320,307200,6870208,167296,1025000,11587101499,429,120,121,1,101866068,5782937600
DenseNet-121,"(331, 331, 3)",4270,2384.5,20.0978847,331,328683,6870208,167296,1025000,12149294971,429,120,121,1,106773846,6063872768
DenseNet-121,"(448, 448, 3)",6021,2418,30.30210401,448,602112,6870208,167296,1025000,22693389115,429,120,121,1,199625812,11333574656
DenseNet-121,"(480, 480, 3)",6250,2427,32.76172866,480,691200,6870208,167296,1025000,26048413499,429,120,121,1,229156308,13010329600
DenseNet-121,"(568, 568, 3)",7463,2444,44.44802421,568,967872,6870208,167296,1025000,36122170939,429,120,121,1,317608180,18044914688
DenseNet-121,"(600, 600, 3)",7920,2457.5,47.8344755,600,1080000,6870208,167296,1025000,40325173819,429,120,121,1,354588788,20145466368
DenseNet-121,"(800, 800, 3)",10653,2495,81.30270697,800,1920000,6870208,167296,1025000,72324611899,429,120,121,1,636453588,36137984000
DenseNet-121,"(896, 896, 3)",11561,2537,98.89486729,896,2408448,6870208,167296,1025000,90719400763,429,120,121,1,798349140,45331226624
DenseNet-121,"(1024, 1024, 3)",12773,2627,123.89005316,1024,3145728,6870208,167296,1025000,118485119803,429,120,121,1,1042717012,59207819264
DenseNet-161,"(56, 56, 3)",2670.5,3806,22.79075209,56,9408,26252064,439872,2209000,939718788,566,160,161,1,4894312,421227264
DenseNet-161,"(128, 128, 3)",3205,3814,24.18212913,128,49152,26252064,439872,2209000,5214356949,566,160,161,1,29812864,3087925248
DenseNet-161,"(150, 150, 3)",3661,3711,26.40529642,150,67500,26252064,439872,2209000,6903553173,566,160,161,1,39588460,3932288544
DenseNet-161,"(224, 224, 3)",5032,3700,34.45741527,224,150528,26252064,439872,2209000,15768832980,566,160,161,1,91301896,13027107072
DenseNet-161,"(240, 240, 3)",5336,3714,35.26503913,240,172800,26252064,439872,2209000,17919239124,566,160,161,1,103807624,14102042880
DenseNet-161,"(256, 256, 3)",5337,3711.5,38.23421844,256,196608,26252064,439872,2209000,20566322085,566,160,161,1,119251456,19134676992
DenseNet-161,"(299, 299, 3)",6857,3822,46.34857831,299,268203,26252064,439872,2209000,27118904340,566,160,161,1,157354659,27815236992
DenseNet-161,"(320, 320, 3)",7238,3837,50.19862148,320,307200,26252064,439872,2209000,32080295937,566,160,161,1,186330400,37846732800
DenseNet-161,"(331, 331, 3)",7619,3828,52.80773442,331,328683,26252064,439872,2209000,33317385825,566,160,161,1,193458427,38465035392
DenseNet-161,"(448, 448, 3)",9439,3854,76.95840522,448,602112,26252064,439872,2209000,62784226209,566,160,161,1,365207584,115725324288
DenseNet-161,"(480, 480, 3)",10048,3863,83.75349949,480,691200,26252064,439872,2209000,72059371812,566,160,161,1,419243400,147255148800
DenseNet-161,"(568, 568, 3)",12018,3850,111.68061292,568,967872,26252064,439872,2209000,99294747492,566,160,161,1,577738600,233362336512
DenseNet-161,"(600, 600, 3)",12474,3870,126.31840313,600,1080000,26252064,439872,2209000,110879091105,566,160,161,1,645217536,286448380416
DenseNet-161,"(800, 800, 3)",15497,3853,204.73245896,800,1920000,26252064,439872,2209000,199992414612,566,160,161,1,1164565000,961042080000
DenseNet-161,"(896, 896, 3)",16402,3894,251.22320812,896,2408448,26252064,439872,2209000,250845799125,566,160,161,1,1460830336,1480771633152
DenseNet-161,"(1024, 1024, 3)",17913,4066,312.92377882,1024,3145728,26252064,439872,2209000,327605624805,566,160,161,1,1908023296,2476707151872
DenseNet-169,"(32, 32, 3)",1985,2685,14.34779768,32,3072,12326080,316800,1665000,168832587,597,168,169,1,1233876,70198272
DenseNet-169,"(56, 56, 3)",2061,2687,14.50549197,56,9408,12326080,316800,1665000,394560843,597,168,169,1,3210484,183013376
DenseNet-169,"(64, 64, 3)",2136,2685,14.61443602,64,12288,12326080,316800,1665000,580198347,597,168,169,1,4915924,275801088
DenseNet-169,"(75, 75, 3)",2136.5,2693,14.79423487,75,16875,12326080,316800,1665000,700097547,597,168,169,1,5964246,335716096
DenseNet-169,"(112, 112, 3)",2289,2686,15.17513434,112,37632,12326080,316800,1665000,1673527883,597,168,169,1,14621076,822252544
DenseNet-169,"(128, 128, 3)",2289,2695,15.68381593,128,49152,12326080,316800,1665000,2225661387,597,168,169,1,19633620,1098212352
DenseNet-169,"(150, 150, 3)",2594,2789,16.72644162,150,67500,12326080,316800,1665000,2952129099,597,168,169,1,25969796,1461289664
DenseNet-169,"(224, 224, 3)",3358,2798,19.98029416,224,150528,12326080,316800,1665000,6750684747,597,168,169,1,60094164,3359843328
DenseNet-169,"(240, 240, 3)",3356,2804,20.61338182,240,172800,12326080,316800,1665000,7660213835,597,168,169,1,68059028,3814429696
DenseNet-169,"(256, 256, 3)",3509,2802,20.99218622,256,196608,12326080,316800,1665000,8807513547,597,168,169,1,78483412,4387857408
DenseNet-169,"(299, 299, 3)",4119,2807,25.14143135,299,268203,12326080,316800,1665000,11645492875,597,168,169,1,103749206,5806247680
DenseNet-169,"(320, 320, 3)",4422,2822,26.88886366,320,307200,12326080,316800,1665000,13743902667,597,168,169,1,122615508,6855091200
DenseNet-169,"(331, 331, 3)",4422,2815,27.92222945,331,328683,12326080,316800,1665000,14306096139,597,168,169,1,127523286,7136026368
DenseNet-169,"(448, 448, 3)",6173.5,2840,39.48266194,448,602112,12326080,316800,1665000,26907606987,597,168,169,1,240294100,13434381312
